Especes;Espece_nurse;Deglaciated_area;Site;Life_Form;RII;Hauteur;Longueur;Largeur;Densite;Volume_canopy;Surface;Site_Nurse;log_Volume_canopy
Achillea nana;Leucanthemopsis alpina;B;Gébroulaz (FR);Herb;0.739574311210261;1.5;18;11;90;155.508836352695;324;Gébroulaz (FR).Leucanthemopsis alpina;5.38605663842015
Achillea nana;Leucanthemopsis alpina;B;Gébroulaz (FR);Herb;0.642791480283123;2;17;16;80;284.837733925475;289;Gébroulaz (FR).Leucanthemopsis alpina;5.85125256609778
Achillea nana;Leucanthemopsis alpina;B;Gébroulaz (FR);Herb;0.689182809419795;2;20;27;85;565.486677646163;400;Gébroulaz (FR).Leucanthemopsis alpina;6.44304725239744
Achillea nana;Leucanthemopsis alpina;B;Gébroulaz (FR);Herb;0.70266951910098;2;17;11;85;195.825942073764;289;Gébroulaz (FR).Leucanthemopsis alpina;5.55550593380927
Achillea nana;Leucanthemopsis alpina;B;Gébroulaz (FR);Herb;0.691239805009978;2;18;14;85;263.893782901543;324;Gébroulaz (FR).Leucanthemopsis alpina;5.78912078499077
Achillea nana;Leucanthemopsis alpina;B;Gébroulaz (FR);Herb;0.665720163048354;3;16;19;85;477.522083345649;256;Gébroulaz (FR).Leucanthemopsis alpina;6.29222436266285
Achillea nana;Leucanthemopsis alpina;B;Gébroulaz (FR);Herb;0.746602488724875;2;36;26;75;980.176907920015;1296;Gébroulaz (FR).Leucanthemopsis alpina;6.94986485476589
Achillea nana;Leucanthemopsis alpina;B;Gébroulaz (FR);Herb;0.666293436932273;2.5;18;12;95;282.743338823081;324;Gébroulaz (FR).Leucanthemopsis alpina;5.84521025164182
Achillea nana;Leucanthemopsis alpina;B;Gébroulaz (FR);Herb;0.77194757454678;1.5;22;16;60;276.460153515902;484;Gébroulaz (FR).Leucanthemopsis alpina;5.82686111297362
Achillea nana;Leucanthemopsis alpina;B;Gébroulaz (FR);Herb;0.667890683900307;3.5;23;25;65;1053.74253589158;529;Gébroulaz (FR).Leucanthemopsis alpina;7.01802069598718
Achillea nana;Leucanthemopsis alpina;B;Gébroulaz (FR);Herb;0.736269871564102;2.5;20;25;85;654.498469497874;400;Gébroulaz (FR).Leucanthemopsis alpina;6.57553643544352
Achillea nana;Leucanthemopsis alpina;B;Gébroulaz (FR);Herb;0.785358658487983;2.5;13;12;90;204.203522483337;169;Gébroulaz (FR).Leucanthemopsis alpina;5.58738114233972
Achillea nana;Leucanthemopsis alpina;B;Gébroulaz (FR);Herb;0.601583353797311;2.5;19;15;75;373.064127613788;361;Gébroulaz (FR).Leucanthemopsis alpina;6.07740363847594
Achillea nana;Leucanthemopsis alpina;B;Gébroulaz (FR);Herb;0.657086950512059;3;15;9;90;212.057504117311;225;Gébroulaz (FR).Leucanthemopsis alpina;5.61636867921297
Achillea nana;Leucanthemopsis alpina;B;Gébroulaz (FR);Herb;0.664360322033245;2.5;21;10;90;274.889357189107;441;Gébroulaz (FR).Leucanthemopsis alpina;5.82222073341712
Achillea nana;Salix serpillifolia;B;Gébroulaz (FR);Dwarf shrub;-0.0134099608885738;2.5;48;43;78;2701.76968208722;2304;Gébroulaz (FR).Salix serpyllifolia;7.92465179332165
Achillea nana;Salix serpillifolia;B;Gébroulaz (FR);Dwarf shrub;-0.0594201268628812;2;15;13;50;204.203522483337;225;Gébroulaz (FR).Salix serpyllifolia;5.58738114233972
Achillea nana;Salix serpillifolia;B;Gébroulaz (FR);Dwarf shrub;-0.178030251837316;2.5;42;43;85;2364.04847182632;1764;Gébroulaz (FR).Salix serpyllifolia;7.7943618946213
